ID,Name,Kategorie,Dateiname,Prompt,Status,Drive URL
11,Richard Löwenherz,mittelalter,richard-loewenherz,"Richard the Lionheart crusader king, great helm with golden cross motif, sword raised high in right hand battle cry, red and gold lion-crest shield on left arm, fierce chivalric expression forward. Background: dark stone castle interior, flickering torch sconces, moonlight through arched gothic window. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
12,Saladin,mittelalter,saladin,"Saladin sultan, elegant white turban with chainmail coif, right hand placed on heart, left hand raised open in diplomatic welcome, noble dignified face forward, damascus steel sword at side. Background: dark stone castle interior, flickering torch sconces, moonlight through arched gothic window. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
13,Napoleon Bonaparte,fruehe-neuzeit,napoleon-bonaparte,"Napoleon Bonaparte, iconic black bicorne hat, right hand tucked inside french imperial uniform jacket in classic pose, stern focused gaze directly at viewer, gold epaulettes. Background: ornate royal court hall, gilded pillars, distant cannon smoke through tall windows. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
14,Friedrich der Große,fruehe-neuzeit,friedrich-der-grosse,"Frederick the Great of Prussia, ornate prussian military hat with cockade, flute held in right hand at chest, sword visible at left hip, powdered wig, sharp intelligent eyes forward. Background: ornate royal court hall, gilded pillars, distant cannon smoke through tall windows. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
15,Horatio Nelson,fruehe-neuzeit,horatio-nelson,"Horatio Nelson british admiral, ornate admiral's hat with medals, telescope raised to good eye in commanding gesture, naval uniform with gold epaulettes, weathered face forward. Background: ornate royal court hall, gilded pillars, distant cannon smoke through tall windows. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
16,Josef Stalin,20-jahrhundert,josef-stalin,"Josef Stalin soviet marshal, grey military uniform with red star, arms crossed over chest, pipe held in right hand, thick dark mustache, stern unsmiling cold eyes forward. Background: war-torn city silhouette at dusk, dramatic smoky orange-grey sky, crumbling ruins. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
17,Winston Churchill,20-jahrhundert,winston-churchill,"Winston Churchill prime minister, black bowler hat, thick lit cigar clenched in mouth, right hand making V-for-victory sign, portly stature, dark suit with polka dot bow tie, defiant bulldog expression forward. Background: war-torn city silhouette at dusk, dramatic smoky orange-grey sky, crumbling ruins. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
18,Franklin D. Roosevelt,20-jahrhundert,franklin-d-roosevelt,"Franklin D. Roosevelt US president, round wire-rimmed glasses, cigarette holder at jaunty angle, both hands resting confidently on armrests, warm patrician face forward, presidential suit. Background: war-torn city silhouette at dusk, dramatic smoky orange-grey sky, crumbling ruins. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
19,Dwight D. Eisenhower,20-jahrhundert,dwight-d-eisenhower,"Dwight Eisenhower five-star general, military uniform with stars and decorations, hands clasped together in steady commander posture, honest determined face forward, iconic bald head. Background: war-torn city silhouette at dusk, dramatic smoky orange-grey sky, crumbling ruins. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
20,John F. Kennedy,kalter-krieg,john-f-kennedy,"John F. Kennedy young US president, dark swept-back hair, both hands gripping podium edge in speech posture, charming confident smile, intense eyes forward, presidential suit. Background: concrete bunker wall, projected world map, cold blue-green atmosphere, nuclear shadows. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
21,Nikita Chruschtschow,kalter-krieg,nikita-chruschtschow,"Nikita Khrushchev soviet premier, bald round head, right fist raised high in defiant gesture, dark suit, mischievous stubborn expression forward, thick eyebrows. Background: concrete bunker wall, projected world map, cold blue-green atmosphere, nuclear shadows. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
22,Mao Zedong,kalter-krieg,mao-zedong,"Mao Zedong chinese chairman, mao suit grey collar jacket, little red book held up in right hand, left arm extended forward in revolutionary gesture, calm authoritative expression forward. Background: concrete bunker wall, projected world map, cold blue-green atmosphere, nuclear shadows. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
23,Henry Kissinger,moderne-strategen,henry-kissinger,"Henry Kissinger diplomat, thick dark-rimmed glasses, fingers interlaced in thoughtful chess-player pose, slight knowing smile, grey suit, intellectual face looking forward. Background: modern glass office tower at night, city lights below, chess board on desk. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
24,Zbigniew Brzezinski,moderne-strategen,zbigniew-brzezinski,"Zbigniew Brzezinski cold war strategist, sharp glasses, right hand pointing forward at viewer as if at invisible map, angular eastern european features, formal suit, calculating expression. Background: modern glass office tower at night, city lights below, chess board on desk. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
25,Zeus,griechische-goetter,zeus,"Zeus greek god of thunder, majestic long white beard, right arm raised holding crackling golden lightning bolt high, left hand open commanding, divine regal expression looking directly forward, golden crown. Background: Mount Olympus marble temple columns, divine golden-white godly light, clouds far below. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, electric blue rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
26,Poseidon,griechische-goetter,poseidon,"Poseidon god of the sea, wild flowing sea-blue hair and beard, both hands gripping mighty trident held vertically in front, deep water-green eyes forward, ocean-blue divine armor. Background: Mount Olympus marble temple columns, divine golden-white godly light, clouds far below. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, teal-blue rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
27,Hades,griechische-goetter,hades,"Hades god of the underworld, pale ghostly skin, dark shadow robes, both hands clasped with wisps of dark smoke curling around fingers, hollow glowing eyes forward, underworld crown. Background: Mount Olympus marble temple columns, divine golden-white godly light, clouds far below. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, dark purple-black rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
28,Athene,griechische-goetter,athene,"Athena goddess of wisdom, elegant corinthian helmet with owl feather crest, wise owl perched on left shoulder, right hand holding vertical spear, wise calm eyes looking directly forward, silver and gold divine armor. Background: Mount Olympus marble temple columns, divine golden-white godly light, clouds far below. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft golden rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
29,Ares,griechische-goetter,ares,"Ares god of war, brutal dark red battle helmet, both hands gripping massive sword raised overhead in full battle rage pose, blazing fire-red eyes forward, flames at shoulders, blood-red war armor. Background: Mount Olympus marble temple columns, divine golden-white godly light, clouds far below. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, deep red dramatic rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
30,Kleopatra VII.,ikonische-figuren,kleopatra,"Cleopatra VII last pharaoh of Egypt, elaborate golden headdress with cobra uraeus, seated regal pose on throne armrests, kohl-lined dark eyes looking directly forward, golden collar necklace. Background: grand egyptian throne room, towering hieroglyph-covered pillars, warm torchlight, nile glimpse through open arch. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, warm golden rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
31,Sunzi,ikonische-figuren,sunzi,"Sun Tzu ancient chinese strategist, traditional hanfu robes, both hands holding open bamboo scroll unfurled in front, long grey beard, wise ancient face looking forward calmly. Background: misty bamboo forest at dawn, ancient chinese ink painting atmosphere, soft morning mist. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
32,Jeanne d'Arc,ikonische-figuren,jeanne-d-arc,"Joan of Arc french heroine, silver plate armor, white banner with fleur-de-lis raised in right hand, left hand on sword hilt, fearless young face looking forward, glowing divine aura. Background: french countryside battlefield, golden wheat fields, heavenly light breaking through storm clouds. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
33,George Washington,ikonische-figuren,george-washington,"George Washington founding father, continental army blue uniform with gold epaulettes, right arm extended forward pointing at viewer in rallying gesture, powdered white wig, dignified noble expression. Background: valley forge winter camp, american flag in wind, dramatic revolutionary sky. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
34,Nelson Mandela,ikonische-figuren,nelson-mandela,"Nelson Mandela, iconic colorful Madiba patterned shirt, both arms open wide in warm welcoming embrace gesture, warm wise smile, grey curly hair. Background: vibrant south african savanna, baobab tree, golden sunset sky. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, warm golden rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
35,Che Guevara,ikonische-figuren,che-guevara,"Che Guevara revolutionary, iconic black beret with red star, right fist raised high in revolutionary salute, olive military jacket, dark curly hair and beard, intense passionate eyes forward. Background: cuban jungle with guerrilla camp, red revolutionary flag, dramatic sunset through palm trees. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
36,Batman,ikonische-figuren,batman,"Batman DC hero, iconic black cowl with pointed ears, both arms crossed over bat-symbol chest in classic cape-wrapped pose, glowing white eye lenses, grim jaw set forward. Background: rainy gotham city rooftop at night, gargoyles, distant city lights through fog. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, dark blue-black rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
37,Sherlock Holmes,ikonische-figuren,sherlock-holmes,"Sherlock Holmes detective, deerstalker hat, right hand holding magnifying glass raised to eye, left hand holding lit pipe, sharp angular features, piercing analytical eyes forward. Background: foggy 221B Baker Street victorian london at night, gas lamp, cobblestones. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, soft warm rim lighting, clean geometric low-poly art style, strategy board game character, bold silhouette, no text",,
38,Der Architekt,entwickler,der-architekt,"A mysterious cosmic deity figure in dark hooded robe with circuit board patterns glowing on fabric, hood partially open revealing a face of shifting code and data streams with two piercing glowing cyan eyes, right hand holding the entire diplomacy game world as a tiny glowing orb, left hand resting on a floating holographic keyboard, chess pieces and game pieces orbiting around shoulders. Background: cosmic void of floating code strings, game logic equations drifting, diplomacy map in wireframe visible, deep space with data nebula. 3D low-poly frontal bust portrait facing viewer, centered square composition optimized for circular avatar frame, intense cyan-electric rim lighting, clean geometric low-poly art style, ultimate strategy game character, god-tier presence, no text",,
